,n,median,IQR,mean,sd,min,max
Q3,23,4.0,1.5,3.391,0.941,2,5
Q4,23,3.0,1.0,3.261,0.864,2,5
Q5,23,4.0,1.0,4.087,0.848,2,5
Q6,23,4.0,0.0,3.913,0.733,2,5
Q7,23,4.0,0.0,3.913,0.596,3,5
Q8,23,4.0,0.0,3.957,0.825,2,5
Q9,23,4.0,1.0,4.13,0.869,2,5
Q10,23,4.0,1.0,3.696,1.02,1,5
Q11,23,4.0,1.0,3.609,0.839,2,5
Q12,23,4.0,0.5,3.87,0.757,2,5
Q13,23,4.0,0.0,3.783,0.6,2,5
Q14,23,4.0,0.0,3.783,0.902,1,5
Q15,23,4.0,0.5,4.13,0.694,2,5
Q16,23,4.0,1.0,3.522,0.79,2,4
Q17,23,4.0,1.0,3.565,1.037,1,5
Q18,23,4.0,0.0,3.696,0.926,1,5
Q19,23,4.0,1.5,3.478,1.201,1,5
Q20,23,4.0,0.0,3.783,0.951,2,5
Q21,23,4.0,1.0,3.652,0.832,2,5
